Name,Category,Provenance,Average_rating,Download_count,Number_of_comments,View_count,Organization,Business_unit,How_data_collected,Update_frequency,Time_period_Covered,dataset_contains_geospatial,Tags
Historical Calgary Community Populations,Demographics,official,0,11,0,685,null,null,null,null,null,null,null
Historical Community Populations,Demographics,official,0,517,0,2210,The City of Calgary,Calgary Growth Strategies,null,Irregular,null,null,"['census', 'population', 'community', 'historical']"
Historical Community Populations and Dwelling Counts,Demographics,official,0,9,0,377,null,null,null,null,null,null,null
Historical Rainfall,Environment,official,0,1254,0,12430,The City of Calgary,Water Resources and Water Services,Tipping bucket rainfall gauges measure at 5 minute intervals,Daily,1988-Present,Yes,"['rain', 'rainfall', 'environmental', 'precip', 'precipitation', 'climate']"
Hours of service provided by Calgary Transit,Transportation/Transit,official,0,21,0,87,The City of Calgary,Calgary Transit,null,Monthly,2007-Present,No,"['service hours', 'bus service', 'ctrain service', 'operating hours']"
Hydrology - Line,Environment,official,0,21,0,6,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
Hydrology - Line,Environment,official,0,434,0,961,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,['river']
Hydrology,Environment,official,0,71,0,62,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,null
Hydrology,Environment,official,0,1582,0,3299,The City of Calgary,Corporate Analytics and Innovation,null,Irregular,null,Yes,"['river', 'water']"
ICI - Accommodation and Food Services Garbage Composition - Diversion Potential,Help and Information,official,0,0,0,20,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Accommodation and Food Services Garbage Composition - Material Category,Help and Information,official,0,2,0,11,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Accommodation and Food Services Garbage Composition - Proper Disposal Location,Help and Information,official,0,0,0,11,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Health Care and Social Assistance Garbage Composition - Diversion Potential,Help and Information,official,0,1,0,10,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Health Care and Social Assistance Garbage Composition - Material Category,Help and Information,official,0,6,0,9,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Health Care and Social Assistance Garbage Composition - Proper Disposal Location,Help and Information,official,0,0,0,12,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Manufacturing Garbage Composition - Diversion Potential,Help and Information,official,0,0,0,12,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Manufacturing Garbage Composition - Material Category,Help and Information,official,0,1,0,11,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Manufacturing Garbage Composition - Proper Disposal Location,Help and Information,official,0,4,0,9,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Public Administration Garbage Composition - Diversion Potential,Help and Information,official,0,3,0,25,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Public Administration Garbage Composition - Proper Disposal Location,Help and Information,official,0,3,0,14,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Retail Garbage Composition - Diversion Potential,Help and Information,official,0,2,0,34,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Retail Garbage Composition - Material Category,Help and Information,official,0,3,0,15,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
ICI - Retail Garbage Composition - Proper Disposal Location,Help and Information,official,0,2,0,11,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Incidents by Year,Government,official,0,8,0,138,null,null,null,null,null,null,null
"Industrial, Commercial, and Institutional Garbage Composition",Help and Information,official,0,20,0,133,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,"['waste', 'garbage', 'waste composition']"
Intersection Safety Cameras,Health and Safety,official,0,110,0,499,The City of Calgary,Calgary Police Service,null,Monthly,null,Yes,"['spped', 'red light', 'camera', 'green light']"
ISC Locations,Health and Safety,official,0,11,0,174,null,null,null,null,null,null,null
Jobs by Area,Government,official,0,3,0,114,The City of Calgary,Human Resources,RSS feed,Daily,null,No,null
Land Use Designation Codes,Base Maps,official,0,200,0,4532,The City of Calgary,Calgary Building Services,null,Daily,null,null,"['land', 'use', 'land use', 'lub', 'land use bylaw']"
Land Use Districts,Base Maps,official,0,23,0,2663,null,null,null,null,null,null,null
Land Use Districts,Base Maps,official,0,883,0,2600,The City of Calgary,Planning and Development,null,Weekly,null,Yes,"['land', 'use']"
Land Use Redesignation Application Locations,null,official,0,1,0,115,null,null,null,null,null,null,null
Land Use Redesignation Applications,null,official,0,58,0,386,The City of Calgary,Planning and Development,null,Daily,null,Yes,"['loc', 'zone', 'zoning', 'rezone', 'closure', 'plan']"
Land Use Redesignation Applications by Year,null,official,0,2,0,46,null,null,null,null,null,null,null
Landfill Setbacks,Environment,official,0,197,0,1742,The City of Calgary,Waste and Recycling Services,null,Weekly,null,Yes,"['landfill', 'setbacks', 'buffer', 'mdp']"
Landfill Setbacks,Environment,official,0,22,0,8,The City of Calgary,Waste and Recycling Services,null,Weekly,null,Yes,null
Lanelines,Health and Safety,official,0,189,0,322,The City of Calgary,Roads,null,Weekly,null,Yes,"['bike lane', 'shoulder', 'turn bay', 'yield line', 'residential', 'arterial', 'neighbourhoood play']"
Lanelines map,Health and Safety,official,0,19,0,169,The City of Calgary,Roads,null,"Weekly, Friday",null,Yes,null
Licensed Pets,Services and Amenities,official,0,165,0,1110,The City of Calgary,Calgary Community Standards,null,Monthly,Apr. 2018-Present,Yes,"['cats', 'dogs', 'pets', 'license']"
Licensed Pets Map,Services and Amenities,official,0,17,0,409,null,null,null,null,null,null,null
Lobbyist Information,Government,official,0,0,0,433,Other,Other - Not City of Calgary,null,None,null,null,"['lobbyist', 'groups']"
Luminaires,Health and Safety,official,0,131,0,359,The City of Calgary,Roads,null,Monthly,null,Yes,"['lighting', 'led', 'wattage']"
Major Road Network,Transportation/Transit,official,0,2312,2,5100,The City of Calgary,Corporate Analytics and Innovation,null,Weekly,null,Yes,"['roads', 'mdp', 'street']"
Major Road Network,Transportation/Transit,official,0,191,0,60,The City of Calgary,Corporate Analytics and Innovation,null,Weekly,null,Yes,null
Map of Fire Stations,null,official,0,2,0,188,The City of Calgary,Calgary Fire Department,manual,weekly,null,Yes,null
"Map of flood extents from June 22, 2013",Environment,official,0,17,0,593,The City of Calgary,Water Resources and Water Services,null,null,2013-06-22,Yes,null
Map of Historic Resources in Calgary,Recreation and Culture,official,0,19,0,660,The City of Calgary,Planning and Development,null,null,null,Yes,null
Map of Short Term Rentals,Business and Economic Activity,official,0,5,0,535,null,null,null,null,null,null,null
Map of Traffic Control Signals,Health and Safety,official,0,20,0,576,null,null,null,null,null,null,null
Map of Traffic Signs,Transportation/Transit,official,0,2,0,309,The City of Calgary,Roads,null,Daily,null,Yes,null
mdp,Base Maps,official,0,56,0,234,The City of Calgary,Corporate Analytics and Innovation,null,null,null,Yes,['mdp']
Monthly 311 Service Requests,Services and Amenities,official,0,3,0,67,The City of Calgary,Customer Service and Communications,null,Daily,2012-present,Yes,null
Monthly Economic Indicators,Business and Economic Activity,official,0,114,0,584,The City of Calgary,Finance,null,Monthly,null,No,"['wage', 'employment', 'unemployment', 'housing', 'retail', 'inflation']"
Monthly Ridership By Year,null,official,0,1,0,89,null,null,null,null,null,null,null
Monthly solar energy production at City of Calgary sites,Environment,official,0,15,0,179,null,null,null,null,null,null,null
Monthly Transit Operating Hours,null,official,0,1,0,21,null,null,null,null,null,null,null
Multi Family Garbage Composition - Material Category,Help and Information,official,0,1,0,50,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Multi Family Garbage Composition - Proper Disposal Location,Help and Information,official,0,4,0,34,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,null
Multi Family Garbage Composition,Help and Information,official,0,9,0,23,The City of Calgary,Waste and Recycling Services,null,As needed,2019,No,"['waste', 'garbage', 'waste composition']"
Multi-Year Flood Maps Views,null,official,0,18,0,279,null,null,null,null,null,null,null
Multi-year RTM Road Network scenarios,Transportation/Transit,official,0,17,0,199,null,null,null,null,null,null,null
Municipal Development Plan Primary Transit Network,null,official,0,17,0,105,null,null,null,null,null,null,['mdp']
Municipal Development Plan Primary Transit Network Lines,null,official,0,97,0,70,The City of Calgary,Planning and Development,null,Irregular,null,null,['mdp']
Municipal Development Plan Primary Transit Network Points,null,official,0,90,0,67,The City of Calgary,Planning and Development,null,Irregular,null,null,['mdp']
Municipal Development Plan Urban Structure,null,official,0,17,0,147,null,null,null,null,null,null,['mdp']
Municipal Development Plan Urban Structure,null,official,0,110,0,213,The City of Calgary,Planning and Development,null,Irregular,null,Yes,['mdp']
Natural Areas,Environment,official,0,1025,0,2436,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'natural areas']"
Natural Areas,Environment,official,0,62,0,19,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Noise Exposure Forecast Contours,null,official,0,18,0,91,The City of Calgary,Planning and Development,null,Irregular,null,Yes,"['airport', 'avpa', 'nef']"
Non permanent streams,Environment,official,0,224,0,674,The City of Calgary,Water Resources and Water Services,"modelling, orthophoto interpretation, field sampling validation and calibration",Irregular,null,Yes,"['streams', 'intermittent', 'ephemeral', 'non-permanent', 'overland flow paths', 'temporary', 'seasonal', 'semi-permanent', 'hydrology', 'riparian']"
Non permanent streams map,Environment,official,0,36,0,487,null,null,null,null,null,null,null
"Number of public trees, by community",Environment,official,0,19,0,268,null,null,null,null,null,null,null
Official Results - General Election 2013,Government,official,0,107,0,151,The City of Calgary,City Clerk's Office,null,None,null,null,"['election', 'vote', 'voting']"
Official Results - General Election 2017,Government,official,0,219,0,2103,The City of Calgary,City Clerk's Office,null,None,null,null,"['election', 'vote', 'voting']"
On-Street Parking Rates,null,official,0,2,0,15,The City of Calgary,Other Business Unit,null,Irregular,null,null,null
On-Street Parking Zones,Transportation/Transit,official,0,2,0,206,null,null,null,null,null,Yes,null
On-Street Parking Zones,Transportation/Transit,official,0,111,1,449,The City of Calgary,Other Business Unit,null,Weekly,null,Yes,"['cpa', 'parkplus']"
Open Calgary Terms of Use,Government,official,0,7,0,31238,The City of Calgary,Corporate Analytics and Innovation,null,null,null,null,null
Open Data Routine Maintenance Calendar,null,official,0,462,0,377,Other,Other - Not City of Calgary,null,As required,null,No,"['schedule', 'maintenance', 'outage']"
Other QoL Indicators,Government,official,0,208,0,712,The City of Calgary,Customer Service and Communications,null,null,null,No,null
Parcel Address,Base Maps,official,0,975,4,6252,The City of Calgary,Corporate Analytics and Innovation,Digitized from plans,Weekly,null,Yes,['address']
Parcel Address and lat/long,Base Maps,official,0,857,0,2056,The City of Calgary,Corporate Analytics and Innovation,Digitized from plans,null,null,Yes,['address']
Parcel Address Data Lens,Base Maps,official,0,17,0,2294,null,null,null,null,null,null,null
Parcel Address Map,Services and Amenities,official,0,1565,0,12605,The City of Calgary,Corporate Analytics and Innovation,null,Weekly,null,Yes,['address']
Parks Administrative Boundaries,Recreation and Culture,official,0,19,0,13,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,null
Parks Administrative Boundaries,Recreation and Culture,official,0,230,0,505,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,"['parks', 'boundaries']"
Parks Amenity Equipment,Recreation and Culture,official,0,223,0,394,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'amenities']"
Parks Barriers,Base Maps,official,0,10,0,3,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Barriers,Base Maps,official,0,100,0,215,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'barriers']"
Parks Bollards,Recreation and Culture,official,0,276,0,251,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'bollards']"
Parks Buildings,null,official,0,13,0,79,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,null
Parks Cemeteries,Services and Amenities,official,0,17,0,4,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,null
Parks Cemeteries,Services and Amenities,official,0,105,0,376,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,"['parks', 'cemetaries']"
Parks Elements map,Recreation and Culture,official,0,15,0,121,null,null,null,null,null,null,null
Parks Hard Surface Areas,Recreation and Culture,official,0,468,0,451,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,['parks']
Parks Hard Surface Areas,Recreation and Culture,official,0,16,0,9,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Monuments,Recreation and Culture,official,0,1,0,64,The City of Calgary,Calgary Parks,,Weekly,,Yes,null
Parks Monuments,Recreation and Culture,official,0,276,0,315,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'monuments']"
Parks Off- Leash,Recreation and Culture,official,0,82,0,10,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Off- Leash,Recreation and Culture,official,0,902,0,1339,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['dogs', 'off-leash']"
Parks Pathways,Recreation and Culture,official,0,879,0,1714,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,['pathways']
Parks Planting Beds,Base Maps,official,0,10,0,6,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Planting Beds,Base Maps,official,0,74,0,179,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'plants']"
Parks Plumbing Fixtures - Drinks for Dogs,Recreation and Culture,official,0,18,0,239,The City of Calgary,Calgary Parks,null,null,null,Yes,null
Parks Plumbing Fixtures,Recreation and Culture,official,0,290,0,171,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Plumbing Fixtures Map,Recreation and Culture,official,0,18,0,70,The City of Calgary,Calgary Parks,null,null,null,Yes,null
Parks Seating - West-facing wooden benches to watch the sunset,Recreation and Culture,official,0,17,0,1238,The City of Calgary,Calgary Parks,null,null,null,Yes,null
Parks Seating,Recreation and Culture,official,0,168,0,317,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'seating']"
Parks Seating Map,null,official,0,20,0,155,null,null,null,null,null,null,null
Parks Site Elements,Recreation and Culture,official,0,117,0,175,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'names', 'sites', 'elements']"
Parks Sites,Recreation and Culture,official,0,455,0,1007,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,['parks']
Parks Sites,Recreation and Culture,official,0,66,0,22,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Sport Equipment,Recreation and Culture,official,0,234,0,210,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'playground']"
Parks Sport Grouping Areas,Recreation and Culture,official,0,113,0,287,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'sports']"
Parks Sport Grouping Areas,Recreation and Culture,official,0,24,0,5,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Sport Surfaces,Recreation and Culture,official,0,305,0,557,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'sports']"
Parks Sport Surfaces,Recreation and Culture,official,0,31,0,5,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Trash Receptacles,Recreation and Culture,official,0,272,0,246,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'recycling', 'garbage']"
Parks Turf,Recreation and Culture,official,0,193,0,558,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'turf']"
Parks Turf,Recreation and Culture,official,0,24,0,18,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Water Bodies,Environment,official,0,16,0,95,The City of Calgary,Calgary Parks,null,Irregular,null,Yes,"['water', 'environmental']"
Parks Water Delivery,Recreation and Culture,official,0,179,0,165,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,['parks']
Parks Water Delivery Coverage,Recreation and Culture,official,0,16,0,4,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Parks Water Delivery Coverage,Recreation and Culture,official,0,69,0,147,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'water']"
Parks Water Features,Recreation and Culture,official,0,150,0,588,The City of Calgary,Water Resources and Water Services,null,Weekly,null,null,"['parks', 'water features']"
Pathways Connector Data,Recreation and Culture,official,0,27,0,16,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Pathways Connector Data,Recreation and Culture,official,0,529,0,915,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,['pathways']
Pedestrian Collision Injuries,Health and Safety,official,0,272,0,1600,Other,Other - Not City of Calgary,null,Annual,null,null,"['safe', 'pedestrian', 'injur', 'collision', 'accident', 'vehic']"
Pedestrian Traffic Count,Transportation/Transit,official,0,6,0,215,null,null,null,null,null,null,null
Pets Impound Outcomes,Services and Amenities,official,0,116,0,452,The City of Calgary,Calgary Community Standards,null,Monthly,Jan. 2012-Present,Yes,"['pets', 'dogs', 'cats', 'impound']"
Pets Impound Outcomes Annually,Services and Amenities,official,0,6,0,92,null,null,null,null,null,null,null
Pets Impound Outcomes Pie chart,Services and Amenities,official,0,6,0,93,null,null,null,null,null,null,null
Playground Equipment,Recreation and Culture,official,0,231,0,390,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['playground', 'equipment', 'apparatus']"
Playground Equipment map,Recreation and Culture,official,0,562,0,501,null,null,null,null,null,Yes,"['playground', 'equipment', 'apparatus']"
Playground Fall Surface,Recreation and Culture,official,0,93,0,348,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['parks', 'playground']"
Playground Fall Surface,Recreation and Culture,official,0,15,0,11,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,null
Plus 15,Transportation/Transit,official,0,62,0,22,The City of Calgary,Planning and Development,null,Monthly,null,Yes,null
Plus 15,Transportation/Transit,official,0,91170,0,2066,The City of Calgary,Planning and Development,null,Monthly,null,Yes,"['plus 15', 'plus15']"
Plus 15 Bridges,Transportation/Transit,official,0,1,0,36,null,null,null,null,null,null,null
Plus 15 Bridges,Transportation/Transit,official,0,36,0,115,The City of Calgary,Roads,null,null,null,Yes,"['plus 15', 'plus15']"
Police Districts,Health and Safety,official,0,26,0,3,The City of Calgary,Calgary Police Service,null,Irregular,null,Yes,null
Police Districts,Health and Safety,official,0,117,0,564,The City of Calgary,Calgary Police Service,null,Irregular,null,Yes,"['police', 'district']"
Police Zones,Health and Safety,official,0,24,0,3,The City of Calgary,Calgary Police Service,null,Irregular,null,Yes,null
Police Zones,Health and Safety,official,0,112,0,453,The City of Calgary,Calgary Police Service,null,Irregular,null,Yes,"['police', 'zone']"
Policy Plan Boundaries,Government,official,0,17,0,126,null,null,null,null,null,null,['mdp']
Policy Plan Boundaries,Government,official,0,126,0,207,The City of Calgary,Planning and Development,null,Irregular,null,Yes,"['mdp', 'planning']"
Primary Electricity Usage,Environment,official,0,14,0,620,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,Dec 2013 - Present,No,null
Primary Natural Gas Usage,Environment,official,0,4,0,117,The City of Calgary,Corporate Analytics and Innovation,null,Monthly,2014 - Present,No,null
Property Assessments,null,official,0,1155,3,9389,The City of Calgary,Assessment,null,Weekly,2005-present,Yes,"['assessment', 'assessed value', 'property', 'value']"
Proposed Airport Vicinity Protection Area (AVPA),null,official,0,3,0,16,The City of Calgary,Planning and Development,null,null,null,Yes,"['avpa', 'nef']"
Proposed Noise Exposure Forecast (NEF),null,official,0,2,0,6,The City of Calgary,Planning and Development,null,null,null,Yes,"['nef', 'avpa']"
Prosperous City Indicators,Government,official,0,183,0,773,The City of Calgary,null,null,null,null,null,null
Public Art,Recreation and Culture,official,0,205,0,1385,The City of Calgary,Calgary Recreation,null,Irregular,null,Yes,"['art', 'public art', 'culture']"
Public Art Locations,Recreation and Culture,official,0,18,0,269,null,null,null,null,null,null,null
Public Bicycle Parking,Transportation/Transit,official,0,94,0,295,The City of Calgary,Transportation Planning,null,Irregular,null,Yes,"['bike', 'bicycle', 'parking']"
Public Bicycle Parking Map,Transportation/Transit,official,0,15,0,93,null,null,null,null,null,null,null
Public Bicycle Parking Map 2,Transportation/Transit,official,0,418,0,76,The City of Calgary,Transportation Planning,null,null,null,Yes,"['bike', 'bicycle', 'parking']"
Public Trees,Environment,official,0,1081,0,5105,The City of Calgary,Calgary Parks,null,Weekly,null,Yes,"['tree', 'forest', 'park']"
Public Water Service Lines,Health and Safety,official,0,85,0,1278,The City of Calgary,Water Resources and Water Services,null,Monthly,null,Yes,"['water', 'pipes', 'drinking']"
Public Water Service Lines Data Lens,Health and Safety,official,0,3,0,128,null,null,null,null,null,null,null
Public Water Service Lines map,Health and Safety,official,0,4,0,513,The City of Calgary,Water Resources and Water Services,null,null,null,Yes,null
Quality of life indicators,null,official,0,199,0,1231,The City of Calgary,Customer Service and Communications,null,null,null,null,['citizen-dashboard']
Rain Gauge locations,Base Maps,official,0,112,0,328,The City of Calgary,Water Resources and Water Services,null,Annual,null,Yes,"['rain', 'gauge', 'location']"
Rain Gauge Map,Base Maps,official,0,16,0,715,The City of Calgary,Water Resources and Water Services,null,Annual,null,Yes,null
Rainfall Data Lens,Environment,official,0,22,0,2394,null,null,null,null,null,null,null
Recreation Facilities,Recreation and Culture,official,0,317,0,891,The City of Calgary,Calgary Recreation,manual,Weekly,null,Yes,"['recreation', 'facilities']"
Recreation Facilities,Recreation and Culture,official,0,1087,0,1006,The City of Calgary,Calgary Recreation,manual,as required,null,Yes,"['recreation', 'facilities']"
Recreation Registered Programs,Government,official,0,125,0,541,The City of Calgary,Calgary Recreation,null,Daily,null,null,['citizen-dashboard']
Regulatory Flood Hazard Map Steplines,Environment,official,0,109,0,524,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['100 year', 'steplines', 'bylaw', 'hazard', 'fringe', 'floodplain', 'floodway']"
Regulatory Flood Hazard Map Steplines,Environment,official,0,17,0,3,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,null
Regulatory Flood Map (Bylaw Flood Hazard Map),Environment,official,0,19,0,476,The City of Calgary,Water Resources and Water Services,null,null,null,Yes,null
Regulatory Flood Map (Bylaw Flood Hazard),Environment,official,0,333,0,989,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'fringe', 'floodway', 'river', 'overland', 'floodplain', 'hazard', 'bylaw', '100 year']"
Residential Parking Zones,Transportation/Transit,official,0,49,0,99,The City of Calgary,Other Business Unit,null,Weekly,null,Yes,"['cpa', 'parkplus']"
Residential Parking Zones,Transportation/Transit,official,0,127,0,790,The City of Calgary,Roads,null,Monthly,null,Yes,['parking']
Residential Parking Zones,Transportation/Transit,official,0,33,0,9,The City of Calgary,Roads,null,Monthly,null,Yes,null
Riparian Areas - Variable Width,Environment,official,0,15,0,10,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,null
Riparian Areas - Variable Width,Environment,official,0,241,0,970,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['riparian areas', 'rivers', 'streams']"
Riparian Management Zones,Environment,official,0,20,0,76,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['riparian', 'developed', 'conservation', 'flood', 'erosion', 'restoration', 'recreation']"
Riparian Management Zones Map,Environment,official,0,2,0,58,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,null
River Level and Flow Monitoring Stations,Environment,official,0,108,0,342,Other,Other - Not City of Calgary,Remote equipment,Daily,null,Yes,"['flow', 'level', 'bow', 'elbow']"
River Levels and Flows,Environment,official,0,100,0,838,Other,Other - Not City of Calgary,Remote equipment,Daily,null,Yes,"['flow', 'level', 'elbow', 'glenmore', 'bearspaw']"
Rivers And Streams - Environmental Reserve Setback Guideline,Environment,official,0,14,0,4,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,null
Rivers And Streams - Environmental Reserve Setback Guideline,Environment,official,0,268,0,1474,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['rivers', 'setbacks', 'riparian']"
Road Construction Projects,Transportation/Transit,official,0,84,0,230,The City of Calgary,Transportation Infrastructure,Web page content,Daily,null,Yes,"['new', 'intersection', 'upgrade', 'rehabilitation', 'construction']"
Road Construction Projects map,Transportation/Transit,official,0,1,0,147,null,null,null,null,null,null,null
Road Stencil lines,Health and Safety,official,0,18,0,251,The City of Calgary,Roads,null,"Weekly, Friday",null,Yes,null
Road Stencils,Health and Safety,official,0,194,0,436,The City of Calgary,Roads,null,Weekly,null,Yes,"['stencil', 'speed hump', 'bike loop', 'yield marking', 'dedicated lane']"
Roads- Condition of assets column,Transportation/Transit,official,0,464,0,272,null,Roads,null,null,null,null,['citizen-dashboard']
Roads- Potholes stacked column,Government,official,0,487,0,418,null,null,null,null,null,null,['citizen-dashboard']
Roads Summer- Gravel Back Lanes column,Government,official,0,461,0,270,,,,,,,['citizen-dashboard']
ROUTE,Transportation/Transit,official,0,26,0,125,The City of Calgary,Calgary Transit,Automated Passenger Counter (APC),None,20180507-20180625 and 20190506-20190623,Yes,null
RTM Road Network Scenarios,Transportation/Transit,official,0,120,0,360,The City of Calgary,Transportation Planning,Data is extracted from the Calgary Regional Transportation Model. ,Irregular,2015 - 2076,Yes,"['rtm', 'regional', 'transportation', 'model', 'network', 'input', 'assumptions', 'ctp', 'mdp', 'scenario', 'series', '2015', '2028', '2039', '2048', '2076', 'horizon']"
SAMPLE,Transportation/Transit,official,0,31,0,148,The City of Calgary,Calgary Transit,Automated Passenger Counter (APC),None,20180507-20180625 and 20190506-20190623,No,null
School Enrolment Data,Demographics,official,0,246,0,1529,Other,Other - Not City of Calgary,null,Annual,2013-Present,No,"['school', 'grade', 'total', 'authority', 'name']"
School Locations,Services and Amenities,official,0,1025,0,7821,The City of Calgary,Other - Not City of Calgary,null,Monthly,null,Yes,"['school', 'grades', 'elementary', 'junior high', 'senior high', 'post-secondary']"
School Locations and Communities Map,Services and Amenities,official,0,1023,0,4928,The City of Calgary,Other - Not City of Calgary,null,Annual,null,Yes,"['school', 'grades', 'elementary', 'junior high', 'senior high', 'post-secondary']"
School locations Data Lens,Services and Amenities,official,0,20,0,2147,The City of Calgary,Other - Not City of Calgary,null,null,null,Yes,"['school', 'grades', 'elementary', 'junior high', 'senior high', 'post-secondary']"
School Locations map,Services and Amenities,official,0,800,0,1187,The City of Calgary,Other - Not City of Calgary,null,Annual,null,Yes,"['school', 'grades', 'elementary', 'junior high', 'senior high', 'post-secondary']"
School Parking Zones,Transportation/Transit,official,0,43,0,88,The City of Calgary,Other Business Unit,null,Weekly,null,Yes,"['cpa', 'parkplus']"
SDAB Appeals by Community,Government,official,0,18,0,57,The City of Calgary,City Clerk's Office,null,Weekly,2014-Present,Yes,null
SDAB Appeals by Property Type,Government,official,0,7,0,54,null,null,null,null,null,null,null
SDAB Appeals By Ward,Government,official,0,16,0,30,The City of Calgary,City Clerk's Office,null,Weekly,2014-Present,Yes,null
SDAB Decisions By Year,Government,official,0,47,0,150,The City of Calgary,City Clerk's Office,null,Weekly,2014-Present,Yes,"['sdab', 'hearing', 'appeals', 'board', 'rulings', 'decision', 'development', 'permit']"
SDAB Decisions Comparison,Government,official,0,7,0,30,The City of Calgary,City Clerk's Office,null,Weekly,2014-Present,Yes,null
SDAB Decisions Map,Government,official,0,21,0,2039,null,null,null,null,null,null,null
SDAB Decisions Pie Chart by Property Type,Government,official,0,6,0,82,null,null,null,null,null,null,null
Secondary Suites,Business and Economic Activity,official,0,541,0,3450,The City of Calgary,Calgary Approvals Coordination,null,Weekly,null,Yes,"['secondary', 'suites', 'permit']"
Secondary Suites Approved Annually,Business and Economic Activity,official,0,8,0,88,The City of Calgary,Calgary Approvals Coordination,null,Weekly,null,Yes,null
